Artiste,Annee,Album,Url,Style
Eminem,2010,Recovery,https://www.azlyrics.com/lyrics/eminem/cinderellaman.html,rap
Eminem,2014,Shady XV,https://www.azlyrics.comtps://www.azlyrics.com/lyrics/slaughterhouse/yallreadyknow.html,rap
Mac Miller,2009,The High Life,https://www.azlyrics.com/lyrics/macmiller/thehighlife.html,rap
Mac Miller,2011,Best Day Ever,https://www.azlyrics.com/lyrics/macmiller/allaroundtheworld.html,rap
Mac Miller,2010,K.I.D.S.,https://www.azlyrics.com/lyrics/macmiller/knockknock.html,rap
Post Malone,2018,Beerbongs &amp; Bentleys,https://www.azlyrics.com/lyrics/postmalone/stay.html,rap
Eminem,2018,Kamikaze,https://www.azlyrics.com/lyrics/eminem/steppingstone.html,rap
Mac Miller,2011,Blue Slide Park,https://www.azlyrics.com/lyrics/macmiller/smileback.html,rap
Justin Bieber,2015,Purpose,https://www.azlyrics.com/lyrics/justinbieber/whatdoyoumean.html,pop
Mac Miller,2011,On And On And Beyond,https://www.azlyrics.com/lyrics/macmiller/livefree.html,rap
Falling In Reverse,2011,The Drug In Me Is You,https://www.azlyrics.com/lyrics/fallinginreverse/imnotavampire.html,metal
Eminem,2018,Kamikaze,https://www.azlyrics.com/lyrics/eminem/kamikaze.html,rap
Slipknot,2014,.5: The Gray Chapter,https://www.azlyrics.com/lyrics/slipknot/skeptic.html,metal
Post Malone,2016,Stoney,https://www.azlyrics.com/lyrics/postmalone/tooyoung.html,rap
Mac Miller,2015,GO:OD AM,https://www.azlyrics.com/lyrics/macmiller/twomatches.html,rap
Eminem,1999,Slim Shady LP,https://www.azlyrics.com/lyrics/eminem/imshady.html,rap
Eminem,2013,The Marshall Mathers LP 2,https://www.azlyrics.com/lyrics/eminem/desperation.html,rap
Eminem,2010,Recovery,https://www.azlyrics.com/lyrics/eminem/lovethewayyoulie.html,rap
Motionless in White,2017,Graveyard Shift,https://www.azlyrics.com/lyrics/motionlessinwhite/notmytypedeadasfuck2.html,Rock\Alternatif
DREAMERS,2016,You Are Here,https://www.azlyrics.com/lyrics/dreamers/wolvesyougotme.html,Rock/Alternatif
Eminem,2009,Relapse: Refill,https://www.azlyrics.com/lyrics/eminem/elevator.html,rap
Slipknot,2004,Vol 3: (The Subliminal Verses),https://www.azlyrics.com/lyrics/slipknot/thenameless.html,metal
Motionless in White,2014,Reincarnate,https://www.azlyrics.com/lyrics/motionlessinwhite/breakthecycle.html,Rock\Alternatif
Eminem,2017,Revival,https://www.azlyrics.com/lyrics/eminem/chloraseptic.html,rap
Mac Miller,2015,GO:OD AM,https://www.azlyrics.com/lyrics/macmiller/timeflies.html,rap
Slipknot,1999,Slipknot,https://www.azlyrics.com/lyrics/slipknot/onlyone2166.html,metal
Mac Miller,2014,Faces,https://www.azlyrics.com/lyrics/macmiller/funeral.html,rap
Eminem,2004,Encore,https://www.azlyrics.com/lyrics/eminem/yellowbrickroad.html,rap
Justin Bieber,2011,Under The Mistletoe,https://www.azlyrics.com/lyrics/justinbieber/santaclausiscomingtotown.html,pop
Post Malone,2016,August 26,https://www.azlyrics.com/lyrics/postmalone/goddamn.html,rap
Motionless in White,2008,When Love Met Destruction,https://www.azlyrics.com/lyrics/motionlessinwhite/ghostinthemirror.html,Rock\Alternatif
Justin Bieber,2012,Believe,https://www.azlyrics.com/lyrics/justinbieber/thoughtofyou.html,pop
Falling In Reverse,2011,The Drug In Me Is You,https://www.azlyrics.com/lyrics/fallinginreverse/sinkorswim.html,metal
Justin Bieber,2013,Believe Acoustic,https://www.azlyrics.com/lyrics/justinbieber/takeyouacousticversion.html,pop
Mac Miller,2016,The Divine Feminine,https://www.azlyrics.com/lyrics/macmiller/we.html,rap
Slipknot,1996,Mate.Feed.Kill.Repeat,https://www.azlyrics.com/lyrics/slipknot/somefeel.html,metal
Bring Me The Horizon,2006,Count Your Blessings,https://www.azlyrics.com/lyrics/bringmethehorizon/offtheheezay.html,metal
Justin Bieber,2012,Believe,https://www.azlyrics.com/lyrics/justinbieber/fairytale.html,pop
Eminem,1996,Infinite,https://www.azlyrics.com/lyrics/eminem/wegointerlude.html,rap
Mac Miller,2014,Faces,https://www.azlyrics.com/lyrics/macmiller/happybirthday.html,rap
Eminem,2002,The Eminem Show,https://www.azlyrics.com/lyrics/eminem/saywhatyousay.html,rap
Slipknot,2008,All Hope Is Gone,https://www.azlyrics.com/lyrics/slipknot/whereinliescontinue.html,metal
Eminem,1998,Slim Shady EP,https://www.azlyrics.com/lyrics/eminem/justdontgiveafuck.html,rap
Mac Miller,2015,GO:OD AM,https://www.azlyrics.com/lyrics/macmiller/breakthelaw.html,rap
Bring Me The Horizon,2013,Sempiternal,https://www.azlyrics.com/lyrics/bringmethehorizon/gotohellforheavenssake.html,metal
Falling In Reverse,2017,Coming Home,https://www.azlyrics.com/lyrics/fallinginreverse/rightnow.html,metal
Post Malone,2016,Stoney,https://www.azlyrics.com/lyrics/postmalone/whiteiverson.html,rap
Post Malone,2016,Stoney,https://www.azlyrics.com/lyrics/postmalone/dejavu.html,rap
Bring Me The Horizon,2019,amo,https://www.azlyrics.com/lyrics/bringmethehorizon/inthedark.html,metal
Slipknot,2014,.5: The Gray Chapter,https://www.azlyrics.com/lyrics/slipknot/theburden.html,metal
Eminem,2002,The Eminem Show,https://www.azlyrics.com/lyrics/eminem/curtainsupskit.html,rap
Slipknot,1999,Slipknot,https://www.azlyrics.com/lyrics/slipknot/diluted.html,metal
DREAMERS,2018,FLY,https://www.azlyrics.com/lyrics/dreamers/allwashedout.html,Rock/Alternatif
Eminem,1999,Slim Shady LP,https://www.azlyrics.com/lyrics/eminem/badmeetsevil.html,rap
Mac Miller,2011,Best Day Ever,https://www.azlyrics.com/lyrics/macmiller/lifeainteasy.html,rap
Eminem,1996,Infinite,https://www.azlyrics.com/lyrics/eminem/itsok.html,rap
Eminem,2004,Encore,https://www.azlyrics.com/lyrics/eminem/emcallspaulskit.html,rap
Eminem,2018,Kamikaze,https://www.azlyrics.com/lyrics/eminem/fall.html,rap
Slipknot,2001,Iowa,https://www.azlyrics.com/lyrics/slipknot/leftbehind.html,metal
Bring Me The Horizon,2019,amo,https://www.azlyrics.com/lyrics/bringmethehorizon/medicine.html,metal
Mac Miller,2009,The Jukebox: Prelude To Class Clown,https://www.azlyrics.com/lyrics/macmiller/snapback.html,rap
Eminem,2013,The Marshall Mathers LP 2,https://www.azlyrics.com/lyrics/eminem/berzerk.html,rap
Eminem,2013,The Marshall Mathers LP 2,https://www.azlyrics.com/lyrics/eminem/groundhogday.html,rap
Justin Bieber,2013,Believe Acoustic,https://www.azlyrics.com/lyrics/justinbieber/shedontlikethelightsacousticversion.html,pop
Bring Me The Horizon,2010,"There Is A Hell, Believe Me I've Seen It. There Is A Heaven, Let's Keep It A Secret",https://www.azlyrics.com/lyrics/bringmethehorizon/alligatorblood.html,metal
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/athousandbadtimes.html,rap
Bring Me The Horizon,2019,amo,https://www.azlyrics.com/lyrics/bringmethehorizon/whyyougottakickmewhenimdown.html,metal
Mac Miller,2018,Swimming,https://www.azlyrics.com/lyrics/macmiller/hurtfeelings.html,rap
DREAMERS,2019,LAUNCH FLY LAND,https://www.azlyrics.com/lyrics/dreamers/takemehome.html,Rock/Alternatif
Mac Miller,2013,Watching Movies With The Sound Off,https://www.azlyrics.com/lyrics/macmiller/reddotmusic.html,rap
Post Malone,2016,Stoney,https://www.azlyrics.com/lyrics/postmalone/nooption.html,rap
Mac Miller,2011,On And On And Beyond,https://www.azlyrics.com/lyrics/macmiller/putiton.html,rap
Mac Miller,2009,The High Life,https://www.azlyrics.com/lyrics/macmiller/imready.html,rap
Falling In Reverse,2011,The Drug In Me Is You,https://www.azlyrics.com/lyrics/fallinginreverse/pickupthephone.html,metal
Eminem,2004,Encore,https://www.azlyrics.com/lyrics/eminem/curtainsupencoreversion.html,rap
Mac Miller,2014,Faces,https://www.azlyrics.com/lyrics/macmiller/grandfinale.html,rap
Eminem,2005,Curtain Call: The Hits,https://www.azlyrics.com/lyrics/eminem/therealslimshady.html,rap
Mac Miller,2014,Faces,https://www.azlyrics.com/lyrics/macmiller/whatdoyoudo.html,rap
Slipknot,1999,Slipknot,https://www.azlyrics.com/lyrics/slipknot/eeyore.html,metal
Justin Bieber,2012,Believe,https://www.azlyrics.com/lyrics/justinbieber/fall.html,pop
Eminem,2011,Straight From The Vault,https://www.azlyrics.com/lyrics/eminem/theapple.html,rap
Post Malone,2018,Beerbongs &amp; Bentleys,https://www.azlyrics.com/lyrics/postmalone/otherside.html,rap
Slipknot,2004,Vol 3: (The Subliminal Verses),https://www.azlyrics.com/lyrics/slipknot/pulseofthemaggots.html,metal
Eminem,2005,Curtain Call: The Hits,https://www.azlyrics.com/lyrics/eminem/liketoysoldiers.html,rap
DREAMERS,2016,This Album Does Not Exist,https://www.azlyrics.com/lyrics/dreamers/cryoutforme.html,Rock/Alternatif
Falling In Reverse,2011,The Drug In Me Is You,https://www.azlyrics.com/lyrics/fallinginreverse/thewesterner.html,metal
Mac Miller,2012,Macadelic,https://www.azlyrics.com/lyrics/macmiller/luckyassbitch.html,rap
Eminem,2005,Curtain Call: The Hits,https://www.azlyrics.com/lyrics/eminem/deadwrongremix.html,rap
Mac Miller,2014,Faces,https://www.azlyrics.com/lyrics/macmiller/thumbalina.html,rap
Eminem,2002,The Eminem Show,https://www.azlyrics.com/lyrics/eminem/squaredance.html,rap
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/myself.html,rap
Motionless in White,2019,Disguise,https://www.azlyrics.com/lyrics/motionlessinwhite/c0de.html,Rock\Alternatif
Mac Miller,2009,The High Life,https://www.azlyrics.com/lyrics/macmiller/ridinhigh.html,rap
