Artiste,Annee,Album,Url,Style
Motionless in White,2014,Reincarnate,https://www.azlyrics.com/lyrics/motionlessinwhite/sinematicacousticversion.html,rock
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/wow.html,rap
DREAMERS,2019,LAUNCH FLY LAND,https://www.azlyrics.com/lyrics/dreamers/itssomethingtobealive.html,rock
Mac Miller,2018,Swimming,https://www.azlyrics.com/lyrics/macmiller/jetfuel.html,rap
Motionless in White,2012,Infamous,https://www.azlyrics.com/lyrics/motionlessinwhite/america.html,rock
Eminem,2010,Recovery,https://www.azlyrics.com/lyrics/eminem/goingthroughchanges.html,rap
Mac Miller,2009,The Jukebox: Prelude To Class Clown,https://www.azlyrics.com/lyrics/macmiller/soundlike.html,rap
Slipknot,2001,Iowa,https://www.azlyrics.com/lyrics/slipknot/515.html,rock
Billie Eilish,2019,"When We All Fall Asleep, Where Do We Go?",https://www.azlyrics.com/lyrics/billieeilish/ilomilo.html,pop
Mac Miller,2011,"I Love Life, Thank You",https://www.azlyrics.com/lyrics/macmiller/lovelost.html,rap
Falling In Reverse,2011,The Drug In Me Is You,https://www.azlyrics.com/lyrics/fallinginreverse/tragicmagic.html,rock
Eminem,2009,Relapse,https://www.azlyrics.com/lyrics/eminem/staywideawake.html,rap
Mac Miller,2013,Watching Movies With The Sound Off,https://www.azlyrics.com/lyrics/macmiller/matches.html,rap
Slipknot,2014,.5: The Gray Chapter,https://www.azlyrics.com/lyrics/slipknot/xix.html,rock
Slipknot,1999,Slipknot,https://www.azlyrics.com/lyrics/slipknot/eyeless.html,rock
Post Malone,2016,August 26,https://www.azlyrics.com/lyrics/postmalone/fuck.html,rap
Eminem,2002,The Eminem Show,https://www.azlyrics.com/lyrics/eminem/curtainscloseskit.html,rap
Mac Miller,2011,Blue Slide Park,https://www.azlyrics.com/lyrics/macmiller/englishlane.html,rap
Slipknot,1996,Mate.Feed.Kill.Repeat,https://www.azlyrics.com/lyrics/slipknot/slipknot.html,rock
Eminem,2004,Encore,https://www.azlyrics.com/lyrics/eminem/yellowbrickroad.html,rap
Falling In Reverse,2013,Fashionably Late,https://www.azlyrics.com/lyrics/fallinginreverse/alone.html,rock
Mac Miller,2015,GO:OD AM,https://www.azlyrics.com/lyrics/macmiller/twomatches.html,rap
Eminem,2020,Music To Be Murdered By,https://www.azlyrics.com/lyrics/eminem/alfredoutro.html,rap
Bring Me The Horizon,2008,Suicide Season,https://www.azlyrics.com/lyrics/bringmethehorizon/deathbreath.html,rock
Eminem,2014,Shady XV,https://www.azlyrics.com/lyrics/eminem/gutsoverfear.html,rap
Bring Me The Horizon,2010,"There Is A Hell, Believe Me I've Seen It. There Is A Heaven, Let's Keep It A Secret",https://www.azlyrics.com/lyrics/bringmethehorizon/thefoxandthewolf.html,rock
Falling In Reverse,2017,Coming Home,https://www.azlyrics.com/lyrics/fallinginreverse/cominghome.html,rock
Motionless in White,2007,The Whorror,https://www.azlyrics.com/lyrics/motionlessinwhite/justwhenyouthoughtwecouldntgetanymoreemowegoandpullastuntlikethis.html,rock
Slipknot,1999,Slipknot,https://www.azlyrics.com/lyrics/slipknot/742617000027.html,rock
Falling In Reverse,2017,Coming Home,https://www.azlyrics.com/lyrics/fallinginreverse/straighttohell.html,rock
Eminem,2005,Curtain Call: The Hits,https://www.azlyrics.com/lyrics/eminem/therealslimshady.html,rap
Eminem,2004,Encore,https://www.azlyrics.com/lyrics/eminem/emcallspaulskit.html,rap
Falling In Reverse,2017,Coming Home,https://www.azlyrics.com/lyrics/fallinginreverse/loser.html,rock
Slipknot,2001,Iowa,https://www.azlyrics.com/lyrics/slipknot/newabortion.html,rock
Eminem,2002,The Eminem Show,https://www.azlyrics.com/lyrics/eminem/paulrosenbergskit.html,rap
Post Malone,2016,Stoney,https://www.azlyrics.com/lyrics/postmalone/goflex.html,rap
Eminem,1996,Infinite,https://www.azlyrics.com/lyrics/eminem/jealousywoesii.html,rap
Eminem,2013,The Marshall Mathers LP 2,https://www.azlyrics.com/lyrics/eminem/beautifulpain.html,rap
Bring Me The Horizon,2013,Sempiternal,https://www.azlyrics.com/lyrics/bringmethehorizon/empireletthemsing.html,rock
Motionless in White,2019,Disguise,https://www.azlyrics.com/lyrics/motionlessinwhite/catharsis.html,rock
Eminem,2010,Recovery,https://www.azlyrics.com/lyrics/eminem/ridaz.html,rap
Eminem,2013,The Marshall Mathers LP 2,https://www.azlyrics.com/lyrics/eminem/legacy.html,rap
Eminem,2017,Revival,https://www.azlyrics.com/lyrics/eminem/needme.html,rap
Justin Bieber,2015,Purpose,https://www.azlyrics.com/lyrics/justinbieber/hometomama.html,pop
Mac Miller,2009,The Jukebox: Prelude To Class Clown,https://www.azlyrics.com/lyrics/macmiller/pahustla.html,rap
Eminem,2018,Kamikaze,https://www.azlyrics.com/lyrics/eminem/steppingstone.html,rap
